Num,Cn,Syllables,Equation,IsMath
0,零,1,0,False
1,一,1,1,False
2,二,1,2,False
3,三,1,3,False
4,四,1,4,False
5,五,1,5,False
6,六,1,6,False
7,七,1,7,False
8,八,1,8,False
9,九,1,9,False
10,十,1,10,False
11,十一,2,11,False
12,十二,2,12,False
13,十三,2,13,False
14,十四,2,14,False
15,十五,2,15,False
16,十六,2,16,False
17,十七,2,17,False
18,十八,2,18,False
19,十九,2,19,False
20,廿,1,20,False
21,廿一,2,21,False
22,廿二,2,22,False
23,廿三,2,23,False
24,廿四,2,24,False
25,廿五,2,25,False
26,廿六,2,26,False
27,廿七,2,27,False
28,廿八,2,28,False
29,廿九,2,29,False
30,卅,1,30,False
31,卅一,2,31,False
32,卅二,2,32,False
33,卅三,2,33,False
34,卅四,2,34,False
35,卅五,2,35,False
36,卅六,2,36,False
37,卅七,2,37,False
38,卅八,2,38,False
39,卅九,2,39,False
40,卌,1,40,False
41,卌一,2,41,False
42,卌二,2,42,False
43,卌三,2,43,False
44,卌四,2,44,False
45,卌五,2,45,False
46,卌六,2,46,False
47,卌七,2,47,False
48,卌八,2,48,False
49,卌九,2,49,False
50,五十,2,50,False
51,五一,2,51,False
52,五二,2,52,False
53,五三,2,53,False
54,五四,2,54,False
55,五五,2,55,False
56,五六,2,56,False
57,五七,2,57,False
58,五八,2,58,False
59,五九,2,59,False
60,六十,2,60,False
61,六一,2,61,False
62,六二,2,62,False
63,六三,2,63,False
64,六四,2,64,False
65,六五,2,65,False
66,六六,2,66,False
67,六七,2,67,False
68,六八,2,68,False
69,六九,2,69,False
70,七十,2,70,False
71,七一,2,71,False
72,七二,2,72,False
73,七三,2,73,False
74,七四,2,74,False
75,七五,2,75,False
76,七六,2,76,False
77,七七,2,77,False
78,七八,2,78,False
79,七九,2,79,False
80,八十,2,80,False
81,八一,2,81,False
82,八二,2,82,False
83,八三,2,83,False
84,八四,2,84,False
85,八五,2,85,False
86,八六,2,86,False
87,八七,2,87,False
88,八八,2,88,False
89,八九,2,89,False
90,九十,2,90,False
91,九一,2,91,False
92,九二,2,92,False
93,九三,2,93,False
94,九四,2,94,False
95,九五,2,95,False
96,九六,2,96,False
97,九七,2,97,False
98,九八,2,98,False
99,九九,2,99,False
100,百,1,100,False
101,百零一,3,101,False
102,百零二,3,102,False
103,百零三,3,103,False
104,百零四,3,104,False
105,百零五,3,105,False
106,百零六,3,106,False
107,百零七,3,107,False
108,百零八,3,108,False
109,百零九,3,109,False
110,百一,2,110,False
111,百一一,3,111,False
112,百一二,3,112,False
113,百一三,3,113,False
114,百一四,3,114,False
115,百一五,3,115,False
116,百一六,3,116,False
117,百一七,3,117,False
118,百一八,3,118,False
119,百一九,3,119,False
120,百二,2,120,False
121,百二一,3,121,False
122,百二二,3,122,False
123,百二三,3,123,False
124,百二四,3,124,False
125,五方,2,(5)^3,True
126,百二六,3,126,False
127,百二七,3,127,False
128,百二八,3,128,False
129,百二九,3,129,False
130,百三,2,130,False
131,百三一,3,131,False
132,百三二,3,132,False
133,百三三,3,133,False
134,百三四,3,134,False
135,百三五,3,135,False
136,百三六,3,136,False
137,百三七,3,137,False
138,百三八,3,138,False
139,百三九,3,139,False
140,百四,2,140,False
141,百四一,3,141,False
142,百四二,3,142,False
143,百四三,3,143,False
144,百四四,3,144,False
145,百四五,3,145,False
146,百四六,3,146,False
147,百四七,3,147,False
148,百四八,3,148,False
149,百四九,3,149,False
150,百五,2,150,False
151,百五一,3,151,False
152,百五二,3,152,False
153,百五三,3,153,False
154,百五四,3,154,False
155,百五五,3,155,False
156,百五六,3,156,False
157,百五七,3,157,False
158,百五八,3,158,False
159,百五九,3,159,False
160,百六,2,160,False
161,百六一,3,161,False
162,百六二,3,162,False
163,百六三,3,163,False
164,百六四,3,164,False
165,百六五,3,165,False
166,百六六,3,166,False
167,百六七,3,167,False
168,百六八,3,168,False
169,百六九,3,169,False
170,百七,2,170,False
171,百七一,3,171,False
172,百七二,3,172,False
173,百七三,3,173,False
174,百七四,3,174,False
175,百七五,3,175,False
176,百七六,3,176,False
177,百七七,3,177,False
178,百七八,3,178,False
179,百七九,3,179,False
180,百八,2,180,False
181,百八一,3,181,False
182,百八二,3,182,False
183,百八三,3,183,False
184,百八四,3,184,False
185,百八五,3,185,False
186,百八六,3,186,False
187,百八七,3,187,False
188,百八八,3,188,False
189,百八九,3,189,False
190,百九,2,190,False
191,百九一,3,191,False
192,百九二,3,192,False
193,百九三,3,193,False
194,百九四,3,194,False
195,百九五,3,195,False
196,百九六,3,196,False
197,百九七,3,197,False
198,百九八,3,198,False
199,百九九,3,199,False
200,皕,1,200,False
201,皕零一,3,201,False
202,皕零二,3,202,False
203,皕零三,3,203,False
204,皕零四,3,204,False
205,皕零五,3,205,False
206,皕零六,3,206,False
207,皕零七,3,207,False
208,皕零八,3,208,False
209,皕零九,3,209,False
210,二百一,3,210,False
211,皕一一,3,211,False
212,皕一二,3,212,False
213,皕一三,3,213,False
214,皕一四,3,214,False
215,皕一五,3,215,False
216,六方,2,(6)^3,True
217,皕一七,3,217,False
218,皕一八,3,218,False
219,皕一九,3,219,False
220,二百二,3,220,False
221,皕二一,3,221,False
222,皕二二,3,222,False
223,皕二三,3,223,False
224,皕二四,3,224,False
225,皕二五,3,225,False
226,皕二六,3,226,False
227,皕二七,3,227,False
228,皕二八,3,228,False
229,皕二九,3,229,False
230,二百三,3,230,False
231,皕三一,3,231,False
232,皕三二,3,232,False
233,皕三三,3,233,False
234,皕三四,3,234,False
235,皕三五,3,235,False
236,皕三六,3,236,False
237,皕三七,3,237,False
238,皕三八,3,238,False
239,皕三九,3,239,False
240,二百四,3,240,False
241,皕四一,3,241,False
242,皕四二,3,242,False
243,皕四三,3,243,False
244,皕四四,3,244,False
245,皕四五,3,245,False
246,皕四六,3,246,False
247,皕四七,3,247,False
248,皕四八,3,248,False
249,皕四九,3,249,False
250,二百五,3,250,False
251,皕五一,3,251,False
252,皕五二,3,252,False
253,皕五三,3,253,False
254,皕五四,3,254,False
255,皕五五,3,255,False
256,皕五六,3,256,False
257,皕五七,3,257,False
258,皕五八,3,258,False
259,皕五九,3,259,False
260,二百六,3,260,False
261,皕六一,3,261,False
262,皕六二,3,262,False
263,皕六三,3,263,False
264,皕六四,3,264,False
265,皕六五,3,265,False
266,皕六六,3,266,False
267,皕六七,3,267,False
268,皕六八,3,268,False
269,皕六九,3,269,False
270,二百七,3,270,False
271,皕七一,3,271,False
272,皕七二,3,272,False
273,皕七三,3,273,False
274,皕七四,3,274,False
275,皕七五,3,275,False
276,皕七六,3,276,False
277,皕七七,3,277,False
278,皕七八,3,278,False
279,皕七九,3,279,False
280,二百八,3,280,False
281,皕八一,3,281,False
282,皕八二,3,282,False
283,皕八三,3,283,False
284,皕八四,3,284,False
285,皕八五,3,285,False
286,皕八六,3,286,False
287,皕八七,3,287,False
288,皕八八,3,288,False
289,皕八九,3,289,False
290,二百九,3,290,False
291,皕九一,3,291,False
292,皕九二,3,292,False
293,皕九三,3,293,False
294,皕九四,3,294,False
295,皕九五,3,295,False
296,皕九六,3,296,False
297,皕九七,3,297,False
298,皕九八,3,298,False
299,皕九九,3,299,False
300,三百,2,300,False
301,三零一,3,301,False
302,三零二,3,302,False
303,三零三,3,303,False
304,三零四,3,304,False
305,三零五,3,305,False
